topic0,preis,dollar,ol,je,olpreis,opec,gold,lit,shell,nachfrag,barrel,weltweit,rohstoff,tonn,bp,benzin,gestieg,produktion,tankstell,london,pro,steigend,steig,rohol,erdol,raffineri,expert,erreicht,knapp,pipelin,niedrig,yukos,hoch,welt,cent,gas,benzinpreis,durft,forder,erhoh,reserv,kostet,angebot,metall,total,heizol,energi,millionen_tonnen,zuletzt,taglich,aluminium,diesel,leicht,liefer,olkonzern,elf,kupf,angesicht,produzent,saudi,olkonz,anstieg,verbrauch,roholpreis,erdgas,gefall,dubai,gering,vergangenen_woche,bestand,fass,arabi,brent,vorrat,durchschnitt,erhoht,goldpreis,druck,millionen_barrel,erwart,kraftstoff,million,edelmetall,zud,exxon,sogar,bedarf,niveau,kraftig,kaffe,aral,lieg,trotz,iea,jung,liegt,sort,notier,steigt,abhang
 ,0.045,0.03,0.026,0.018,0.018,0.018,0.017,0.015,0.014,0.014,0.014,0.013,0.012,0.011,0.011,0.011,0.011,0.011,0.011,0.01,0.009,0.008,0.008,0.008,0.007,0.007,0.007,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic57,arbeitslos,arbeit,arbeitsmarkt,beschaft,job,arbeitsplatz,million,arbeitnehm,stell,arbeitslosengeld,ba,bundesregier,mindestlohn,dgb,hartz,ii,sozial,handwerk,sozialhilf,betrieb,lohn,reform,arbeitgeb,beschaftigt,arbeitsamt,alt,clement,mensch,bundesanstalt_für_arbeit,arbeitsmarktpolit,schaff,langzeitarbeitslos,kundigungsschutz,arbeitskraft,massnahm,arbeitslosenzahl,hartz_iv,gesetz,zusatz,hundt,gewerkschaft,geschaff,befristet,niedrig,bundesanstalt,vermittl,vorschlag,gering,iv,bda,kef,leistung,gerst,gefordert,arbeitslosenhilf,einstell,empfang,arbeitsminist,qualifiziert,bundesagentur_für_arbeit,sozialhilfeempfang,bess,schwarzarbeit,statt,regel,lang,arbeitsmarktreform,erhalt,neue_arbeitsplätze,tatig,abm,jagoda,ford,betroff,arbeitslosenquot,quot,millionen_menschen,staatlich,chanc,sozialpolit,bezahlt,aktiv,erwerbslos,regular,sollt,zud,anreiz,geringfug,einfuhr,modell,arbeitsverhaltnis,warnt,kritisiert,zahl_der_arbeitslosen,deshalb,kombilohn,statist,instrument,entsteh,forder
 ,0.038,0.024,0.02,0.015,0.015,0.014,0.013,0.01,0.009,0.008,0.008,0.008,0.008,0.008,0.008,0.007,0.007,0.007,0.007,0.007,0.007,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic58,fond,anleg,anleih,rendit,investor,investment,produkt,hedg,laufzeit,bond,rating,zertifikat,geld,investiert,mrd,papi,fund,anlag,risiko,volum,emission,fondsmanag,frankfurt,investi,kapital,zehnjahr,staatsanleih,aktienfond,manag,langfrist,gesellschaft,kapitalmarkt,vermog,bank,fondsgesellschaft,aktuell,portfolio,vermogensverwalt,biet,zins,investmentfond,immobili,niedrig,anteil,gering,market,privat,verwaltet,wertpapi,performanc,attraktiv,global,genannt,verkauf,basispunkt,risik,pfandbrief,expert,dws,depot,emittent,begeb,tabell,immobilienfond,meist,kupon,futur,ratingagentur,strategi,bundesanleih,liegt,ertrag,poor,anbiet,fallig,agentur,prozentpunkt,angebot,standard,kauf,emerging,setz,alternativ,verlust,sollt,aufgelegt,verzins,bess,privatanleg,beispiel,management,vergleich,steigend,kurzfrist,ausserd,vergang,asset,festverzins,wert,geschloss
 ,0.037,0.023,0.018,0.014,0.01,0.008,0.007,0.007,0.007,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic59,franzos,paris,frankreich,spani,spanisch,madrid,brasili,de,mexiko,argentini,chirac,eta,sozialist,brasilian,la,lateinamerika,mexikan,national,argentin,portugal,buenos_aires,premierminist,sarkozy,baskisch,le_monde,konservativ,jospin,mitterrand,region,staatschef,aznar,le_figaro,barcelona,venezuela,jacques_chirac,portugies,lateinamerikan,alstom,franc,stadt,milliarden_franc,jos,baskenland,san,peso,lateinamerikas,pp,link,lissabon,liberation,kris,sao_paulo,banco,sa,men,le_pen,ff,nicolas_sarkozy,marokko,chil,françois,mexikos,mercosur,französische_regierung,sudamerikan,guatemala,chiracs,general,staatlich,gonzalez,wirtschaftsminist,fox,francois_mitterrand,fernando,royal,raffarin,chávez,lula,cardoso,bnp,caracas,sudamerika,endesa,bolivi,nationalversamml,chavez,front,brasilia,lyon,philipp,staatsprasident,wirtschaftszeit,marseill,saint,afp,unabhang,bundesstaat,rio_de_janeiro,de_la,silva
 ,0.079,0.067,0.058,0.027,0.024,0.019,0.014,0.012,0.012,0.011,0.011,0.008,0.007,0.007,0.006,0.006,0.006,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
topic60,wohl,kaum,mann,red,offent,eher,liess,durft,schliesslich,scheint,auftritt,wort,roll,alt,vorgang,machtig,eigent,hart,gern,stet,kritik,hand,freund,nie,lang,off,gar,gegn,ton,lasst,gerad,sogar,mal,einst,spricht,kampf,wirkt,versucht,person,sach,gleich,verhaltnis,immerhin,klar,recht,ausgerechnet,diesmal,lieb,zumind,genoss,kur,gilt,lautet,imag,verkundet,buhn,jedenfall,erfolg,schien,spitz,prasentiert,niemand,gesicht,art,letzt,freilich,vielleicht,einstig,zeigt,arg,fuhlt,tatsach,korrespondent,zweifel,plotzlich,uberzeug,tief,mag,gest,gelass,spiel,geschickt,oft,spielt,treu,hor,lob,durchaus,dennoch,mocht,profil,auftret,stimmung,ehrgeiz,schatt,obwohl,beifall,sitzt,selbstbewusst,auss
 ,0.008,0.007,0.007,0.007,0.006,0.006,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
topic61,eu,brussel,kommission,eg,europäischen_union,frankreich,vertrag,schwed,mitgliedstaat,national,kommissar,gipfel,belgi,beitritt,vorschlag,erweiter,belgisch,europäische_union,gemeinschaft,europas,union,regierungschef,schwedisch,stockholm,gemeinsam,mitglied,rat,europaparlament,ministerrat,grossbritanni,finnland,maastricht,verfass,beihilf,mitgliedsland,ratsprasidentschaft,mitgliedsstaat,spani,niederland,strassburg,binnenmarkt,prasidentschaft,danemark,portugal,kommissionsprasident,itali,richtlini,beschluss,zustand,finnisch,ecu,verheug,aussenminist,diplomat,beitrittsverhandl,minist,nizza,osterweiter,beschloss,helsinki,griechenland,irland,barroso,wahrungsunion,europäische_kommission,grenzuberschreit,subvention,monti,europapolit,regeln,wettbewerbskommissar,luxemburg,mitgliedschaft,beitrittskandidat,sanktion,vorgeschlag,lissabon,auss,aufnahm,plan,prodi,kommissarin,europäischen_kommission,institution,ratsvorsitz,ratsprasident,persson,parlament,burg,aussenpolit,mario_monti,romano_prodi,behord,gipfeltreff,konvent,sant,hiess,einstimm,debatt,verfahr
 ,0.205,0.054,0.054,0.014,0.013,0.01,0.008,0.008,0.008,0.008,0.008,0.007,0.007,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
topic62,microsoft,comput,softwar,herstell,it,gerat,sap,ibm,pc,weltweit,intel,infineon,technologi,sony,appl,bereich,munch,philips,system,tech,produkt,geschaft,digital,konz,dell,windows,entwickl,konkurrent,oracl,verkauft,rechn,branch,programm,chips,chip,elektron,high,cebit,hp,anbiet,hewlett,packard,motorola,umsatz,anwend,amd,compaq,halbleit,samsung,dienstleist,kund,million,weltgrosst,verkauf,firm,unterhaltungselektron,marktanteil,schnell,firma,entwickelt,fuhrend,betriebssyst,konzern,dvd,standard,chipherstell,spiel,computerherstell,serv,spart,informationstechnologi,version,setzt,bislang,electronics,cisco,handys,marktfuhr,personal,welt,sun,nachfrag,servic,druck,zud,bekannt,japan,genannt,gat,konkurrenz,pcs,fernseh,business,prozessor,bring,hannov,hardwar,play,fujitsu,bill_gates
 ,0.02,0.017,0.016,0.014,0.012,0.011,0.01,0.01,0.01,0.008,0.008,0.008,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic63,verband,industri,thyss,bdi,bundesverband,stahl,krupp,dusseldorf,deutschen_industrie,rexrodt,ess,warnt,bleib,diht,vertret,betont,gegenub,deshalb,ansicht,zud,angesicht,interess,hauptgeschaftsfuhr,meint,arcelor,handel,fuhr,erheb,vorsitz,salzgitt,seh,erwart,dihk,dortmund,duisburg,heisst,mittal,gest,befurchtet,sollt,besteh,thyssenkrupp,folg,stahlindustri,allein,handelstag,steel,laut,einschatz,mittelstand,chanc,trotz,bedeut,durft,nehm,stahlwerk,deutschen_wirtschaft,begrusst,insbesond,branch,neb,notwend,weiterhin,stihl,zugleich,anlass,besond,ausserd,plan,bezeichnet,bess,firm,bundesregier,erhalt,wirtschaftsverband,schwierig,stell,sicht,stellt,nannt,präsident_des_bundesverbandes,lieg,entsprech,gelt,dah,schaff,gleichzeit,handelskamm,gemacht,auswirk,gesamt,vertritt,gefahrdet,hoesch,druck,befurcht,lang,kritisiert,davor,zukunft
 ,0.036,0.02,0.014,0.013,0.012,0.012,0.012,0.011,0.01,0.008,0.007,0.007,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic64,kampf,rebell,afghanistan,soldat,fluchtling,taliban,stadt,hauptstadt,trupp,afghan,mensch,arme,un,militar,getotet,kabul,angriff,sud,nord,berichtet,miliz,grenz,burgerkrieg,provinz,ruanda,gefecht,dorf,region,zivilist,einheit,kongo,unhcr,schwer,uno,kilomet,gebiet,offensiv,somalia,nairobi,sudan,tot,waffenstillstand,hilfsorganisation,bewaffnet,zair,mindest,streitkraft,heftig,waff,bericht,aufstand,nah,samstag,flucht,vertrieb,vereinten_nationen,helf,general,stellung,darfur,konflikt,leb,verlass,bevolker,ort,hilf,athiopi,regierungstrupp,unterdess,gekomm,meldet,sudanes,teilt,rundfunk,hutu,tausend,mogadischu,krieg,humanitar,kabila,ausland,ikrk,angegriff,zerstort,genf,front,ruckkehr,gefloh,hundert,kinshasa,massak,nordlich,tutsi,opf,kontroll,kontrolliert,flughaf,sudlich,ubergangsregier,seit
 ,0.024,0.019,0.014,0.013,0.012,0.011,0.01,0.01,0.01,0.008,0.008,0.008,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic65,syst,technisch,system,technik,entwickelt,arbeit,gerat,kart,schnell,elektron,modern,einsatz,beispiel,automat,entwickl,verschied,problem,eingesetzt,technologi,stellt,zukunft,beispielsweis,losung,jena,kost,verfahr,einfach,genannt,anlag,probl,sogenannt,speziell,fertig,anfang,arbeitet,standard,jenopt,zusamm,firma,dual,besond,lang,ingenieur,bild,anwend,genau,einzeln,leicht,komplett,unterschied,neb,lasst,form,kommt,vorteil,nutz,deshalb,einheit,klein,material,herkomm,gleich,setzt,verwendet,direkt,stell,zunach,hilf,art,inzwisch,leit,genutzt,benotigt,zentral,entsprech,projekt,bestimmt,ausgestattet,entsteh,dadurch,komplex,entwickeln,alt,ausserd,erlautert,praktisch,gesamt,ahnlich,hergestellt,modell,las,erhalt,besteht,bereich,pro,ersetzt,anforder,verbind,ersetz,kompliziert
 ,0.017,0.016,0.012,0.011,0.009,0.009,0.008,0.007,0.007,0.007,0.006,0.006,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic66,stadt,mess,koln,leipzig,ausstell,haus,hotel,besuch,hannov,veranstalt,gebaud,bau,munch,immobili,hall,frankfurt,dusseldorf,quadratmet,flach,umzug,eroffnet,expo,geschaftsfuhr,qm,million,gast,hauptstadt,platz,objekt,geland,neb,grundstuck,eroffn,miet,standort,raum,projekt,angebot,architekt,buro,ort,tourismus,gmbh,gebaut,buros,statt,ehemal,rhein,metropol,zentral,zentrum,prasenti,city,park,restaurant,innenstadt,tourist,einwohn,entsteh,wohn,errichtet,mitt,fachmess,neubau,burgermeist,zeig,vertret,ess,grossstadt,stadtisch,alt,sitz,stand,modern,baut,konzept,region,nah,planung,einricht,plan,prasentiert,investor,ausland,oberburgermeist,weltausstell,findet,genutzt,ubernacht,zahlreich,fertig,stadtteil,main,find,dach,gesellschaft,darunt,leer,eigentum,kam
 ,0.032,0.023,0.021,0.015,0.013,0.013,0.013,0.011,0.01,0.009,0.009,0.008,0.007,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.001,0.001,0.001,0.001,0.001
topic67,akti,analyst,euro,bors,anleg,wert,kur,gewinn,papi,investor,expert,dax,borsengang,titel,gest,erwart,kurs,aktienmarkt,positiv,bank,durft,neuen_markt,kauf,notiert,oben,bewert,kursziel,bewertet,aktuell,index,prognos,seh,unt,hoch,profiti,aktienkur,aktienkurs,zud,strateg,empfehl,rat,kurzfrist,langfrist,mlp,steig,investmentbank,optimist,rechn,verkauf,branch,verhaltnis,dah,borsian,zuletzt,research,bess,schwach,merrill_lynch,goldman_sachs,aussicht,niedrig,neutral,fondsmanag,schlecht,morgan_stanley,je,stuft,bankhaus,empfiehlt,sogar,erhol,indiz,jung,negativ,entwickl,einschatz,gunstig,uberrasch,oppenheim,steigend,vergang,kursentwickl,meinung,vorsicht,gewinnwarn,meint,mdax,kraftig,aktionar,marktkapitalisier,vergangenen_woche,nachricht,sal,eher,korrektur,sektor,attraktiv,emission,neuemission,gehandelt
 ,0.062,0.036,0.019,0.018,0.015,0.014,0.013,0.012,0.009,0.008,0.008,0.008,0.008,0.007,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
topic68,punkt,euro,index,akti,dax,handl,dollar,stieg,fiel,schwach,legt,verlor,bors,frankfurt,plus,leicht,notiert,fest,minus,schloss,vortag,papi,handel,gewinn,titel,stand,verlust,wert,aktienmarkt,gewann,wall_street,tendiert,kurs,nachd,dow,mdax,rentenmarkt,kursgewinn,freundlich,positiv,nasdaq,main,zog,jon,anleg,nachmittag,ging,klettert,sank,kraftig,zeigt,uhr,profitiert,behauptet,new_york,ebenfall,nikkei,standardwert,verli,busst,kursverlust,mark,setzt,erholt,belastet,dow_jones,druck,uneinheit,gewinnmitnahm,unverandert,geschloss,umlaufrendit,yen,erneut,commerzbank,erhol,london,stimmung,futur,zuletzt,gehandelt,nemax,pfennig,tecdax,hiess,kur,tokio,tendenz,vorgab,verzeichnet,verbessert,kostet,prasentiert,zeitweis,knapp,marktteilnehm,verteuert,aktienbors,verlauf,rutscht
 ,0.041,0.023,0.022,0.016,0.015,0.014,0.014,0.012,0.011,0.011,0.011,0.01,0.009,0.009,0.009,0.009,0.009,0.009,0.008,0.008,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic69,reform,notwend,ziel,aufgab,sozial,gemeinsam,konzept,struktur,diskussion,sollt,verantwort,wirtschaftspolit,zukunft,bess,zentral,programm,schaff,einheit,umsetz,verander,massnahm,problem,klar,dringend,ford,starkung,agenda,notig,brauch,grundleg,vorstell,einzeln,umfass,konkret,gerecht,forder,debatt,bereich,beitrag,kompetenz,offent,national,gestalt,gefordert,marktwirtschaft,angesicht,erford,arbeit,grundsatz,zugleich,losung,durf,gleichzeit,setz,verbesser,heisst,erfolg,schaffung,diskutiert,strategi,schritt,herausforder,schnell,konsequent,voraussetz,gestarkt,breit,bleib,zustand,pladiert,verbess,besteh,darum,erreich,vorrang,burg,fortschritt,umbau,wesent,radikal,verwalt,effizient,fuhr,ansatz,stell,modernisier,wettbewerb,thema,eben,leist,grundlag,deshalb,bewalt,sicher,neuordn,integration,bisher,kons,modell,prioritat
 ,0.043,0.017,0.017,0.013,0.009,0.009,0.008,0.007,0.007,0.006,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic70,ag,millionen_dm,milliarden_dm,gmbh,grupp,munch,gesellschaft,umsatz,tocht,konz,vorstandsvorsitz,mitarbeit,bereich,vorstand,beteil,stuttgart,teilt,beschaftigt,co,holding,geschaftsfuhr,eigener_bericht,gehor,mannheim,geschaftsjahr,dusseldorf,ubernomm,erzielt,tatig,hauptversamml,abb,gegrundet,eigenen_angaben,ubernahm,beteiligt,aktivitat,anteil,mg,tochtergesellschaft,viag,konzern,verkauft,dr,jahresuberschuss,bayer,heidelberg,vorstandsmitglied,werk,vertrieb,klockn,babcock,wcm,spart,ubernimmt,milliarde_dm,veba,gehort,erwerb,koln,geschaftsbereich,geschaftsfeld,erworb,ergebnis,mitteilt,knapp,augsburg,_kg,holding_ag,fuhrend,konzernumsatz,vorstandschef,verkauf,kg,erwirtschaftet,abgeschloss,mehrheit,rheinmetall,anlagenbau,firma,verlust,mbh,kapital,grundkapital,gemeinschaftsunternehm,vorstandssprech,borsengang,duisburg,servic,kapitalerhoh,maschinenbau,dach,akquisition,metallgesellschaft,ausbau,aktiengesellschaft,vwd,muttergesellschaft,jahresumsatz,mitteil,unternehmensgrupp
 ,0.065,0.053,0.04,0.029,0.027,0.021,0.014,0.012,0.012,0.011,0.01,0.01,0.009,0.009,0.008,0.008,0.008,0.007,0.007,0.007,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
topic71,telekom,mobil,mannesmann,netz,anbiet,vodafon,mobilfunk,kund,umt,handy,mobilcom,wettbewerb,telekommunikation,lizenz,million,deutsche_telekom,plus,konkurrent,tocht,nokia,at,dusseldorf,deutschen_telekom,schnell,france_télécom,telecom,alcatel,dien,ericsson,anschluss,angebot,konz,vivendi,telefon,internet,festnetz,telefoni,geschaft,bt,dsl,handys,kpn,telefongesellschaft,worldcom,bonn,nutz,konzern,orang,regulierungsbehord,servic,partn,konkurrenz,telefónica,betreib,call,zugang,netzbetreib,arcor,start,mobilfunkanbiet,mobiltelefon,gesellschaft,versteiger,wireless,tarif,aufbau,preis,biet,communication,millionen_kunden,bereich,gest,global,monopolist,france_telecom,bell,kabel,minut,freenet,marktanteil,numm,debitel,technik,vertrag,zud,lucent,mci,neb,ron_sommer,verbind,sprint,rick,auktion,finnisch,kurth,com,bislang,tel,mobilfunknetz,gent
 ,0.046,0.014,0.012,0.012,0.011,0.011,0.009,0.009,0.009,0.009,0.008,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
